feature,n,missing,unique,is_constant,mean,std,skew,kurtosis_excess,min,p01,p05,q25,median,q75,p95,p99,max,shapiro_W,shapiro_p,k2_stat,k2_p,jb_stat,jb_p,adf_stat,adf_p,adf_lags,adf_nobs,kpss_stat,kpss_p,kpss_lags,arch_lm_stat,arch_lm_p,arch_lags
liquidity_concentration_top_50,353,0,353,False,0.02301863666721801,0.0015171882422127126,0.09556669023507519,1.463211749200414,0.017942089684873035,0.019488159529181006,0.02049808788502263,0.02216408942222896,0.023131145736604755,0.023805327841308767,0.025114966709630662,0.02739924922454536,0.029071399595236466,0.9729173183441162,3.5905993627238786e-06,13.942430779166752,0.0009385115552156788,30.425835370016546,2.472371881918294e-07,-8.164442551640821,8.961659086223391e-13,2,350,0.07364057389864583,0.1,7,17.73670786591209,0.12392197948526293,12
liquidity_spread_all,353,0,353,False,16501.09133127564,1748.3790461026676,7.110897296173603,60.892680105692264,15515.120216783605,15538.164875353623,15634.369117175502,15862.375563622762,16106.003072469157,16516.582582943156,18728.149214362093,21456.27830724534,32765.945514155923,0.3780943751335144,5.7925279609271266e-33,495.9401099169934,2.0322327893860072e-108,55929.018348627,0.0,-7.925730275542972,3.6231686135298914e-12,3,349,0.4073747525304207,0.07397639977137038,7,0.702285873640929,0.9999980712548195,12
liquidity_spread_top_15,353,0,353,False,21.48822388269082,4.748639379843936,0.3680421854344948,2.3711412815546904,5.6823478349614325,10.322164083944434,14.428248470676488,18.77075203252186,21.29785750378826,24.253604604198717,29.163469905814217,33.38394691513458,46.37601482527342,0.9775165319442749,2.5831272068899125e-05,30.991815668246133,1.862999488077109e-07,87.11821787627403,1.2092590646069193e-19,-7.986903293949133,2.534660656085601e-12,2,350,0.19215562958572835,0.1,8,10.623529087035427,0.5614275787257534,12
liquidity_spread_top_5,353,0,353,False,5.192605300939475,3.11186259986059,1.2814523979152985,3.904899836251367,0.1519357884714545,0.5896958937801984,1.1171179795361832,2.960534898893358,4.708233317334178,6.805202312138072,10.645061859117819,13.88513808711934,24.279166666662416,0.9273991584777832,4.522950590446495e-12,100.37074929623547,1.6023918155734906e-22,311.8684737963692,1.899421612605024e-68,-14.852496152414895,1.7684275513928888e-27,0,352,0.13033033289703277,0.1,5,2.6466144952469,0.9975662479725007,12
liquidity_spread_top_50,353,0,353,False,61.01013624518346,3.8985580334175522,3.1346535136686944,33.924538665878224,47.48046226814444,50.59686047868056,56.26705598915341,58.81567915977662,60.74314049586609,62.66876190476171,66.79310108393612,69.38291839195291,101.81784566942561,0.8084439635276794,3.896206800762585e-20,303.09632987597934,1.5256967632008727e-66,17009.69904102577,0.0,-10.738463968712697,2.8585202186829265e-19,1,351,0.15452935766239023,0.1,6,3.2749028857088547,0.9932723044939373,12
microprice,353,0,353,False,109167.61653427544,108.05475420964741,-0.33773859883394386,-0.9086851294752849,108942.21883439943,108956.42791679774,108980.00495053358,109080.92229625833,109189.99983443708,109246.86980561556,109317.52804464566,109358.7583561131,109386.73415841584,0.9592360258102417,2.4410457655221762e-08,51.0582661235058,8.181602648106028e-12,18.90940803455083,7.832027744647595e-05,-1.409542241686272,0.5776929948243988,0,352,1.7178679260632803,0.01,11,302.60625218112995,1.3318023155553258e-57,12
mid_price,353,0,228,False,109167.61770538242,108.04905730102497,-0.33766609029242006,-0.9086402445024677,108942.25,108956.45,108980.05,109080.95,109189.95,109246.85,109317.53,109358.754,109386.75,0.9592443108558655,2.4476644711057816e-08,51.046444828016,8.230104416578201e-12,18.90536305934142,7.847883952768113e-05,-1.4097613900887873,0.5775875419337219,0,352,1.7177644454068317,0.01,11,302.60020400719054,1.3357033061819282e-57,12
price_impact_proxy_all,353,0,352,False,0.012117985535196718,0.0001565439130898046,1.7165081985980564,3.11417252416471,0.011902760068820448,0.01191860773342505,0.011948810666448425,0.012023702740447423,0.012078978281057612,0.012144464682924646,0.012430482684123261,0.01268308436009073,0.012694740119133545,0.829739511013031,4.905392480483538e-19,122.71465945772678,2.2534621839445746e-27,308.99417154440226,7.994074273437147e-68,-2.215159912120072,0.20078936390526042,11,341,0.9395783205783241,0.01,10,210.06608497710857,2.7111131450590227e-38,12
price_impact_proxy_top_15,353,0,353,False,3.8390016963126165e-05,1.0058975583259957e-05,1.8693688931686019,12.225906615835491,1.543755231098163e-05,1.7879517321655212e-05,2.4968719608388586e-05,3.1908488862123735e-05,3.751476065037961e-05,4.3641835966886925e-05,5.434132238360437e-05,6.45574265372838e-05,0.0001205435933639303,0.9036051034927368,3.404212878927414e-14,184.10832625749822,1.0504730547157256e-40,2334.743792091185,0.0,-7.295171801182659,1.384012751560545e-10,2,350,1.2214217996354826,0.01,8,0.9921394680973517,0.9999864449685936,12
price_impact_proxy_top_5,353,0,353,False,5.175586729923206e-05,2.983741501422824e-05,1.6755872372556406,3.7395520553056354,5.492730210006752e-06,8.857069288320961e-06,1.5528668585565723e-05,3.321410321921308e-05,4.54673820954697e-05,6.171735241503985e-05,0.00010915985464774862,0.00015933834586461063,0.00019258130081297855,0.8673617839813232,8.151999270841566e-17,125.5737985449723,5.395057902887488e-28,361.8658356250078,2.6413879932745774e-79,-4.792619112262449,5.618193735212979e-05,5,347,0.7426615379963618,0.01,8,38.588660689490055,0.0001229761489784136,12
price_impact_proxy_top_50,353,0,353,False,1.7431826575033384e-05,2.116918451577774e-06,1.774300927953844,5.365580555169467,1.2713127863164852e-05,1.3892327581523964e-05,1.4952507341952058e-05,1.6134700789162592e-05,1.707160176159137e-05,1.8071884447431275e-05,2.1446143669923974e-05,2.4922312735849288e-05,2.978533285109461e-05,0.8731101751327515,1.9482655112377405e-16,144.5308821112227,4.125890685343522e-32,592.5910196568302,2.09167915702254e-129,-7.205018613218824,2.3122920103953164e-10,2,350,0.15826693286366725,0.1,9,42.65784342604925,2.5798437903876893e-05,12
volatility,353,0,353,False,0.00017896318039658157,3.727337212836825e-05,0.25365691428919857,-1.0880013690142625,0.00011825559965146267,0.00012180637228711912,0.000127143087207537,0.00014543546731799682,0.00017871082915895504,0.00020624847890198558,0.00024101884288799458,0.0002581734247078814,0.00026610383684524816,0.9490730166435242,1.101259305968938e-09,109.39182165490807,1.7614395562283326e-24,21.215474917455794,2.4723967053792432e-05,-2.0393585634830176,0.269586707139767,1,351,0.5932164664930836,0.023253048500628763,11,319.272030976067,4.179873390874061e-61,12
